School,Score,Latitude,Longitude,Suburb,Post,geometry
The Peninsula School,98,-38.2021876,145.0931079,Mount Eliza,3930,POINT (145.0931079 -38.2021876)
Huntingtower School,100,-37.8769086,145.1296074,Mount Waverley,3149,POINT (145.1296074 -37.8769086)
Pinewood Primary School,99,-37.8895762,145.1411053,Mount Waverley,3149,POINT (145.1411053 -37.8895762)
Ormond Primary School,93,-37.9050571,145.0345603,Bentleigh,3204,POINT (145.0345603 -37.9050571)
Bentleigh West Primary School,93,-37.9211649,145.0288805,Bentleigh,3204,POINT (145.0288805 -37.9211649)
Tucker Road Bentleigh Primary School,91,,,Bentleigh,3204,POINT (nan nan)
St Kevin's Parish School,88,,,Bentleigh,3204,POINT (nan nan)
St Peter's School,95,-37.9229268,145.0730527,Bentleigh East,3165,POINT (145.0730527 -37.9229268)
Coatesville Primary School,94,-37.9228085,145.0730887,Bentleigh East,3165,POINT (145.0730887 -37.9228085)
Valkstone Primary School,93,-37.9141268,145.0546431,Bentleigh East,3165,POINT (145.0546431 -37.9141268)
East Bentleigh Primary School,78,-37.9255684,145.0710028,Bentleigh East,3165,POINT (145.0710028 -37.9255684)
Mount Waverley Primary School,98,-37.8776854,145.1248085,Mount Waverley,3149,POINT (145.1248085 -37.8776854)
Essex Heights Primary School,97,-37.863057,145.1172685,Mount Waverley,3149,POINT (145.1172685 -37.863057)
Syndal South Primary School,96,-37.8788803,145.1423647,Mount Waverley,3149,POINT (145.1423647 -37.8788803)
Caulfield Primary School,93,-37.8874228,145.020235,Caulfield,3162,POINT (145.020235 -37.8874228)
Carnegie Primary School,98,-37.893763,145.055501,Murrumbeena,3163,POINT (145.055501 -37.893763)
Lloyd Street Primary School,94,,,Caulfield East,3145,POINT (nan nan)
Holy Eucharist School,88,,,Caulfield East,3145,POINT (nan nan)
St Mary's School,87,-37.8737726,145.055687,Caulfield East,3145,POINT (145.055687 -37.8737726)
Malvern Valley Primary School,86,,,Caulfield East,3145,POINT (nan nan)
Murrumbeena Primary School,97,-37.8868487,145.0700748,Murrumbeena,3163,POINT (145.0700748 -37.8868487)
Newport Lakes Primary School,97,-37.837344,144.8784361,Newport,3015,POINT (144.8784361 -37.837344)
Glen Huntly Primary School,95,-37.8933802,145.0460925,Carnegie,3163,POINT (145.0460925 -37.8933802)
St Anthony's Primary School,91,-37.8877847,145.0503038,Carnegie,3163,POINT (145.0503038 -37.8877847)
St Patrick's School,90,-37.902355,145.0696048,Carnegie,3163,POINT (145.0696048 -37.902355)
Mount Pleasant Road Primary School,100,,,Nunawading,3131,POINT (nan nan)
Oakleigh Primary School,98,-37.8942491,145.0879661,Oakleigh,3166,POINT (145.0879661 -37.8942491)
Oakleigh Grammar,98,-37.8974926,145.0849937,Oakleigh,3166,POINT (145.0849937 -37.8974926)
Adass Israel School,76,-37.8791651,145.0162845,Elsternwick,3185,POINT (145.0162845 -37.8791651)
Hughesdale Primary School,96,-37.9084706,145.0769713,Oakleigh,3166,POINT (145.0769713 -37.9084706)
Oakleigh Primary School,98,-37.8942491,145.0879661,Oakleigh East,3166,POINT (145.0879661 -37.8942491)
Oakleigh Grammar,98,-37.8974926,145.0849937,Oakleigh East,3166,POINT (145.0849937 -37.8974926)
Adass Israel School,76,-37.8791651,145.0162845,Gardenvale,3185,POINT (145.0162845 -37.8791651)
Hughesdale Primary School,96,-37.9084706,145.0769713,Oakleigh East,3166,POINT (145.0769713 -37.9084706)
Oakleigh South Primary School,99,-37.9234246,145.0940794,Oakleigh South,3167,POINT (145.0940794 -37.9234246)
Glen Huntly Primary School,95,-37.8933802,145.0460925,Glen Huntly,3163,POINT (145.0460925 -37.8933802)
St Anthony's Primary School,91,-37.8877847,145.0503038,Glen Huntly,3163,POINT (145.0503038 -37.8877847)
St Patrick's School,90,-37.902355,145.0696048,Glen Huntly,3163,POINT (145.0696048 -37.902355)
Kilvington Grammar School,99,-37.9000905,145.0411966,Ormond,3204,POINT (145.0411966 -37.9000905)
St Paul's Primary School,97,,,Ormond,3204,POINT (nan nan)
Mckinnon Primary School,97,,,Ormond,3204,POINT (nan nan)
Ormond Primary School,93,-37.9050571,145.0345603,McKinnon,3204,POINT (145.0345603 -37.9050571)
Bentleigh West Primary School,93,-37.9211649,145.0288805,McKinnon,3204,POINT (145.0288805 -37.9211649)
Tucker Road Bentleigh Primary School,91,,,McKinnon,3204,POINT (nan nan)
St Kevin's Parish School,88,,,McKinnon,3204,POINT (nan nan)
Mentone Girls' Grammar School,98,-37.99193,145.0656282,Parkdale,3194,POINT (145.0656282 -37.99193)
Mentone Grammar School,96,-37.9856532,145.0620139,Parkdale,3194,POINT (145.0620139 -37.9856532)
Glen Huntly Primary School,95,-37.8933802,145.0460925,Murrumbeena,3163,POINT (145.0460925 -37.8933802)
St Anthony's Primary School,91,-37.8877847,145.0503038,Murrumbeena,3163,POINT (145.0503038 -37.8877847)
St Patrick's School,90,-37.902355,145.0696048,Murrumbeena,3163,POINT (145.0696048 -37.902355)
Heathdale Christian College,99,,,Point Cook,3030,POINT (nan nan)
Preston West Primary School,99,-37.7371477,144.9957428,Preston,3072,POINT (144.9957428 -37.7371477)
Newlands Primary School,99,,,Preston,3072,POINT (nan nan)
Ormond Primary School,93,-37.9050571,145.0345603,Ormond,3204,POINT (145.0345603 -37.9050571)
Bentleigh West Primary School,93,-37.9211649,145.0288805,Ormond,3204,POINT (145.0288805 -37.9211649)
Tucker Road Bentleigh Primary School,91,,,Ormond,3204,POINT (nan nan)
St Kevin's Parish School,88,,,Ormond,3204,POINT (nan nan)
Parkdale Primary School,95,,,Aspendale,3195,POINT (nan nan)
Aspendale Primary School,94,-38.0203695,145.100305829266,Aspendale,3195,POINT (145.100305829266 -38.0203695)
Mordialloc Beach Primary School,92,,,Aspendale,3195,POINT (nan nan)
St Brigid's School,91,-38.0082712,145.0916938,Aspendale,3195,POINT (145.0916938 -38.0082712)
Aspendale Gardens Primary School,90,-38.0184012,145.107788,Aspendale,3195,POINT (145.107788 -38.0184012)
Parktone Primary School,90,,,Aspendale,3195,POINT (nan nan)
St Louis de Montfort's Primary School,88,,,Aspendale,3195,POINT (nan nan)
Patterson Lakes Primary School,92,-38.0704727,145.1456958,Bonbeach,3197,POINT (145.1456958 -38.0704727)
Carrum Primary School,83,,,Bonbeach,3197,POINT (nan nan)
Parkdale Primary School,95,,,Braeside,3195,POINT (nan nan)
Aspendale Primary School,94,-38.0203695,145.100305829266,Braeside,3195,POINT (145.100305829266 -38.0203695)
Mordialloc Beach Primary School,92,,,Braeside,3195,POINT (nan nan)
St Brigid's School,91,-38.0082712,145.0916938,Braeside,3195,POINT (145.0916938 -38.0082712)
Aspendale Gardens Primary School,90,-38.0184012,145.107788,Braeside,3195,POINT (145.107788 -38.0184012)
Parktone Primary School,90,,,Braeside,3195,POINT (nan nan)
St Louis de Montfort's Primary School,88,,,Braeside,3195,POINT (nan nan)
Patterson Lakes Primary School,92,-38.0704727,145.1456958,Carrum,3197,POINT (145.1456958 -38.0704727)
Carrum Primary School,83,,,Carrum,3197,POINT (nan nan)
Bonbeach Primary School,95,-38.0677837,145.1238818,Chelsea,3196,POINT (145.1238818 -38.0677837)
St Joseph's School,86,-38.0555972,145.118269,Chelsea,3196,POINT (145.118269 -38.0555972)
Edithvale Primary School,86,,,Chelsea,3196,POINT (nan nan)
Chelsea Heights Primary School,83,-38.044872,145.1376531,Chelsea,3196,POINT (145.1376531 -38.044872)
Chelsea Primary School,81,-38.0559658,145.1185479,Chelsea,3196,POINT (145.1185479 -38.0559658)
Heatherton Christian College,94,,,Clarinda,3169,POINT (nan nan)
Clarinda Primary School,88,-37.927337,145.1091842,Clarinda,3169,POINT (145.1091842 -37.927337)
St Andrew's School,84,,,Clarinda,3169,POINT (nan nan)
Clayton South Primary School,83,-37.9568887,145.1136541,Clarinda,3169,POINT (145.1136541 -37.9568887)
Heatherton Christian College,94,,,Clayton South,3169,POINT (nan nan)
Clarinda Primary School,88,-37.927337,145.1091842,Clayton South,3169,POINT (145.1091842 -37.927337)
St Andrew's School,84,,,Clayton South,3169,POINT (nan nan)
Clayton South Primary School,83,-37.9568887,145.1136541,Clayton South,3169,POINT (145.1136541 -37.9568887)
Bonbeach Primary School,95,-38.0677837,145.1238818,Edithvale,3196,POINT (145.1238818 -38.0677837)
St Joseph's School,86,-38.0555972,145.118269,Edithvale,3196,POINT (145.118269 -38.0555972)
Edithvale Primary School,86,,,Edithvale,3196,POINT (nan nan)
Chelsea Heights Primary School,83,-38.044872,145.1376531,Edithvale,3196,POINT (145.1376531 -38.044872)
Chelsea Primary School,81,-38.0559658,145.1185479,Edithvale,3196,POINT (145.1185479 -38.0559658)
Eltham Primary School,97,-37.7252061,145.1515404,Research,3095,POINT (145.1515404 -37.7252061)
Eltham East Primary School,97,-37.7112661,145.1555627,Research,3095,POINT (145.1555627 -37.7112661)
Mentone Primary School,95,-37.9828409,145.068653,Mentone,3194,POINT (145.068653 -37.9828409)
St Patrick's Primary School,94,,,Mentone,3194,POINT (nan nan)
Mentone Park Primary School,83,,,Mentone,3194,POINT (nan nan)
Richmond Primary School,96,-37.8313851,145.0001527,Richmond,3121,POINT (145.0001527 -37.8313851)
St Catherine's School,89,,,Moorabbin,3189,POINT (nan nan)
Moorabbin Primary School,86,,,Moorabbin,3189,POINT (nan nan)
Parkdale Primary School,95,,,Mordialloc,3195,POINT (nan nan)
Aspendale Primary School,94,-38.0203695,145.100305829266,Mordialloc,3195,POINT (145.100305829266 -38.0203695)
Mordialloc Beach Primary School,92,,,Mordialloc,3195,POINT (nan nan)
St Brigid's School,91,-38.0082712,145.0916938,Mordialloc,3195,POINT (145.0916938 -38.0082712)
Aspendale Gardens Primary School,90,-38.0184012,145.107788,Mordialloc,3195,POINT (145.107788 -38.0184012)
Parktone Primary School,90,,,Mordialloc,3195,POINT (nan nan)
St Louis de Montfort's Primary School,88,,,Mordialloc,3195,POINT (nan nan)
Mullum Primary School,97,,,Ringwood,3134,POINT (nan nan)
Heathmont East Primary School,98,-37.8297294,145.2560479,Ringwood East,3135,POINT (145.2560479 -37.8297294)
Mentone Primary School,95,-37.9828409,145.068653,Parkdale,3194,POINT (145.068653 -37.9828409)
St Patrick's Primary School,94,,,Parkdale,3194,POINT (nan nan)
Mentone Park Primary School,83,,,Parkdale,3194,POINT (nan nan)
Parkdale Primary School,95,,,Waterways,3195,POINT (nan nan)
Aspendale Primary School,94,-38.0203695,145.100305829266,Waterways,3195,POINT (145.100305829266 -38.0203695)
Mordialloc Beach Primary School,92,,,Waterways,3195,POINT (nan nan)
St Brigid's School,91,-38.0082712,145.0916938,Waterways,3195,POINT (145.0916938 -38.0082712)
Aspendale Gardens Primary School,90,-38.0184012,145.107788,Waterways,3195,POINT (145.107788 -38.0184012)
Parktone Primary School,90,,,Waterways,3195,POINT (nan nan)
St Louis de Montfort's Primary School,88,,,Waterways,3195,POINT (nan nan)
Tintern Girls Grammar School,97,,,Ringwood East,3135,POINT (nan nan)
Solway Primary School,94,-37.8725568,145.069233,Ashwood,3147,POINT (145.069233 -37.8725568)
St Michael's Primary School,92,,,Ashwood,3147,POINT (nan nan)
Parkhill Primary School,88,-37.8629859,145.1087228,Ashwood,3147,POINT (145.1087228 -37.8629859)
St Mary Magdalen's School,78,,,Chadstone,3148,POINT (nan nan)
St Peter's School,90,-37.9230853,145.1231709,Clayton,3168,POINT (145.1231709 -37.9230853)
Clayton North Primary School,84,-37.9229712,145.141072,Clayton,3168,POINT (145.141072 -37.9229712)
Westall Primary School,65,,,Clayton,3168,POINT (nan nan)
Mullum Primary School,97,,,Ringwood North,3134,POINT (nan nan)
Sholem Aleichem College,100,-37.882826,145.0014169,Ripponlea,3185,POINT (145.0014169 -37.882826)
St Joseph's School,98,-37.8819303,145.0024205,Ripponlea,3185,POINT (145.0024205 -37.8819303)
Leibler Yavneh College,96,-37.8933693,145.0071875,Ripponlea,3185,POINT (145.0071875 -37.8933693)
Banyule Primary School,98,-37.7423498,145.0778236,Rosanna,3084,POINT (145.0778236 -37.7423498)
Lighthouse Christian College,99,-38.1150304,145.2977981,Skye,3977,POINT (145.2977981 -38.1150304)
Christ Church Grammar School,99,-37.8302731,144.9878261,South Yarra,3141,POINT (144.9878261 -37.8302731)
South Yarra Primary School,98,-37.8302731,144.9878261,South Yarra,3141,POINT (144.9878261 -37.8302731)
Melbourne Girls Grammar School,97,,,South Yarra,3141,POINT (nan nan)
Waverley Meadows Primary School,94,-37.917323,145.1841377,Glen Waverley,3150,POINT (145.1841377 -37.917323)
Newport Lakes Primary School,97,-37.837344,144.8784361,Spotswood,3015,POINT (144.8784361 -37.837344)
St Andrews Primary School,96,-37.5995357,145.2753572,St Andrews,3761,POINT (145.2753572 -37.5995357)
Yeshivah and Beth Rivkah Colleges,98,,,St Kilda East,3183,POINT (nan nan)
Sacred Heart Catholic Primary School,94,,,Hughesdale,3166,POINT (nan nan)
Christ Our Holy Redeemer School,89,-37.8965759,145.1020545,Hughesdale,3166,POINT (145.1020545 -37.8965759)
Amsleigh Park Primary School,83,-37.9005897,145.1101495,Hughesdale,3166,POINT (145.1101495 -37.9005897)
Caulfield Grammar School,97,,,St Kilda East,3183,POINT (nan nan)
St Mary's School,96,-37.8587196,144.9980294,St Kilda East,3183,POINT (144.9980294 -37.8587196)
Sunshine Christian School,97,-37.777535,144.8345848,Sunshine,3020,POINT (144.8345848 -37.777535)
Sacred Heart Catholic Primary School,94,,,Huntingdale,3166,POINT (nan nan)
Christ Our Holy Redeemer School,89,-37.8965759,145.1020545,Huntingdale,3166,POINT (145.1020545 -37.8965759)
Amsleigh Park Primary School,83,-37.9005897,145.1101495,Huntingdale,3166,POINT (145.1101495 -37.9005897)
Sunshine Christian School,97,-37.777535,144.8345848,Sunshine North,3020,POINT (144.8345848 -37.777535)
Sunshine Christian School,97,-37.777535,144.8345848,Sunshine West,3020,POINT (144.8345848 -37.777535)
Mont Albert Primary School,99,-37.8148609,145.1021821,Surrey Hills,3127,POINT (145.1021821 -37.8148609)
Westbourne Grammar School,98,-37.8511955,144.7135619,Tarneit,3029,POINT (144.7135619 -37.8511955)
Serpell Primary School,100,-37.7716222,145.1554786,Templestowe,3106,POINT (145.1554786 -37.7716222)
Holy Family School,85,-37.8747019,145.1297915,Mount Waverley,3149,POINT (145.1297915 -37.8747019)
Mount Waverley North Primary School,85,-37.868039,145.1403906,Mount Waverley,3149,POINT (145.1403906 -37.868039)
Sussex Heights Primary School,69,-37.887818,145.110164,Mount Waverley,3149,POINT (145.110164 -37.887818)
St John Vianney's School,88,,,Mulgrave,3170,POINT (nan nan)
Mulgrave Primary School,87,-37.935327,145.189655,Mulgrave,3170,POINT (145.189655 -37.935327)
Albany Rise Primary School,86,-37.935327,145.189655,Mulgrave,3170,POINT (145.189655 -37.935327)
St Peter's School,90,-37.9230853,145.1231709,Notting Hill,3168,POINT (145.1231709 -37.9230853)
Clayton North Primary School,84,-37.9229712,145.141072,Notting Hill,3168,POINT (145.141072 -37.9229712)
Westall Primary School,65,,,Notting Hill,3168,POINT (nan nan)
Thomastown East Primary School,96,-37.6804134,145.0235329,Thomastown,3074,POINT (145.0235329 -37.6804134)
Distance Education Centre Victoria,97,,,Thornbury,3071,POINT (nan nan)
Lighthouse Christian College,99,-38.1150304,145.2977981,Tooradin North,3977,POINT (145.2977981 -38.1150304)
Sacred Heart Catholic Primary School,94,,,Oakleigh,3166,POINT (nan nan)
Christ Our Holy Redeemer School,89,-37.8965759,145.1020545,Oakleigh,3166,POINT (145.1020545 -37.8965759)
Amsleigh Park Primary School,83,-37.9005897,145.1101495,Oakleigh,3166,POINT (145.1101495 -37.9005897)
Toorak Primary School,97,-37.8459779,145.0098169,Toorak,3142,POINT (145.0098169 -37.8459779)
St Kevin's College,97,-37.83579675,145.024918834218,Toorak,3142,POINT (145.024918834218 -37.83579675)
Westbourne Grammar School,98,-37.8511955,144.7135619,Truganina,3029,POINT (144.7135619 -37.8511955)
Sacred Heart Catholic Primary School,94,,,Oakleigh East,3166,POINT (nan nan)
Christ Our Holy Redeemer School,89,-37.8965759,145.1020545,Oakleigh East,3166,POINT (145.1020545 -37.8965759)
Amsleigh Park Primary School,83,-37.9005897,145.1101495,Oakleigh East,3166,POINT (145.1101495 -37.9005897)
Weeden Heights Primary School,99,-37.860336,145.1829262,Vermont,3133,POINT (145.1829262 -37.860336)
Huntingdale Primary School,90,-37.9132211,145.1031617,Oakleigh South,3167,POINT (145.1031617 -37.9132211)
Vermont Primary School,99,-37.8428245,145.1923533,Vermont,3133,POINT (145.1923533 -37.8428245)
Livingstone Primary School,98,-37.8521827,145.1806169,Vermont,3133,POINT (145.1806169 -37.8521827)
St James' School,96,,,Vermont,3133,POINT (nan nan)
Weeden Heights Primary School,99,-37.860336,145.1829262,Vermont South,3133,POINT (145.1829262 -37.860336)
Vermont Primary School,99,-37.8428245,145.1923533,Vermont South,3133,POINT (145.1923533 -37.8428245)
Livingstone Primary School,98,-37.8521827,145.1806169,Vermont South,3133,POINT (145.1806169 -37.8521827)
St James' School,96,,,Vermont South,3133,POINT (nan nan)
Banyule Primary School,98,-37.7423498,145.0778236,Viewbank,3084,POINT (145.0778236 -37.7423498)
St Andrews Christian College,100,-37.8734787,145.2445416,Wantirna,3152,POINT (145.2445416 -37.8734787)
Waverley Meadows Primary School,94,-37.917323,145.1841377,Wheelers Hill,3150,POINT (145.1841377 -37.917323)
Dromana Primary School,84,-38.3346141,144.9614245,Arthurs Seat,3936,POINT (144.9614245 -38.3346141)
Balnarring Primary School,82,-38.3750593,145.1256832,Balnarring,3926,POINT (145.1256832 -38.3750593)
Woodleigh School,91,-38.1849406,145.1631513,Baxter,3911,POINT (145.1631513 -38.1849406)
Bayside Christian College,75,-38.1772333,145.16335,Baxter,3911,POINT (145.16335 -38.1772333)
Baxter Primary School,75,-38.19918,145.1819325,Baxter,3911,POINT (145.1819325 -38.19918)
Boneo Primary School,76,-38.3868611,144.8885895,Boneo,3939,POINT (144.8885895 -38.3868611)
Rosebud Primary School,70,-38.3536354,144.9111906,Boneo,3939,POINT (144.9111906 -38.3536354)
Eastbourne Primary School,69,-38.3716734,144.8889948,Boneo,3939,POINT (144.8889948 -38.3716734)
Boneo Primary School,76,-38.3868611,144.8885895,Cape Schanck,3939,POINT (144.8885895 -38.3868611)
Rosebud Primary School,70,-38.3536354,144.9111906,Cape Schanck,3939,POINT (144.9111906 -38.3536354)
Eastbourne Primary School,69,-38.3716734,144.8889948,Cape Schanck,3939,POINT (144.8889948 -38.3716734)
St Joseph's School,88,-38.3621192,145.2014342,Crib Point,3919,POINT (145.2014342 -38.3621192)
Crib Point Primary School,75,-38.3597038,145.1997274,Crib Point,3919,POINT (145.1997274 -38.3597038)
Dromana Primary School,84,-38.3346141,144.9614245,Dromana,3936,POINT (144.9614245 -38.3346141)
St Mary's Primary School,85,,,Hastings,3915,POINT (nan nan)
Balnarring Primary School,82,-38.3750593,145.1256832,Merricks Beach,3926,POINT (145.1256832 -38.3750593)
Balnarring Primary School,82,-38.3750593,145.1256832,Merricks North,3926,POINT (145.1256832 -38.3750593)
Moorooduc Primary School,84,-38.2510648,145.1151315,Moorooduc,3933,POINT (145.1151315 -38.2510648)
St Macartan's School,90,-38.2165731,145.0418807,Mornington,3931,POINT (145.0418807 -38.2165731)
Benton Junior College,82,-38.2391842,145.0657475,Mornington,3931,POINT (145.0657475 -38.2391842)
Waverley Christian College,100,-37.8791793,145.2148358,Wantirna,3152,POINT (145.2148358 -37.8791793)
Templeton Primary School,99,-37.8612878,145.2338509,Wantirna,3152,POINT (145.2338509 -37.8612878)
Mount Eliza North Primary School,93,-38.1895428,145.1012463,Mount Eliza,3930,POINT (145.1012463 -38.1895428)
St Thomas More's Primary School,91,,,Mount Eliza,3930,POINT (nan nan)
Mount Eliza Primary School,89,-38.2021876,145.0931079,Mount Eliza,3930,POINT (145.0931079 -38.2021876)
Kunyung Primary School,85,-38.1955694,145.0815182,Mount Eliza,3930,POINT (145.0815182 -38.1955694)
Osborne Primary School,81,-38.2549851,145.0309167,Mount Martha,3934,POINT (145.0309167 -38.2549851)
Mount Martha Primary School,80,-38.2761576,145.0141213,Mount Martha,3934,POINT (145.0141213 -38.2761576)
St Carlo Borromeo Primary School,85,,,Red Hill,3059,POINT (nan nan)
Aitken College,83,-37.6273369,144.888192452197,Red Hill,3059,POINT (144.888192452197 -37.6273369)
Greenvale Primary School,78,-37.64041,144.8854677,Red Hill,3059,POINT (144.8854677 -37.64041)
Red Hill Consolidated School,88,-38.4172225,145.0481998,Red Hill South,3937,POINT (145.0481998 -38.4172225)
Boneo Primary School,76,-38.3868611,144.8885895,Rosebud,3939,POINT (144.8885895 -38.3868611)
Rosebud Primary School,70,-38.3536354,144.9111906,Rosebud,3939,POINT (144.9111906 -38.3536354)
Eastbourne Primary School,69,-38.3716734,144.8889948,Rosebud,3939,POINT (144.8889948 -38.3716734)
Tootgarook Primary School,68,-38.3693852,144.8569588,Rye,3941,POINT (144.8569588 -38.3693852)
Dromana Primary School,84,-38.3346141,144.9614245,Safety Beach,3936,POINT (144.9614245 -38.3346141)
Pearcedale Primary School,84,-38.2032063,145.2312381,Somerville,3912,POINT (145.2312381 -38.2032063)
Somerville Primary School,74,-38.2238808,145.1971409,Somerville,3912,POINT (145.1971409 -38.2238808)
Somerville Rise Primary School,73,-38.2308051,145.169968,Somerville,3912,POINT (145.169968 -38.2308051)
St Brendan's Primary School,72,-38.2348512,145.1675876,Somerville,3912,POINT (145.1675876 -38.2348512)
St Joseph's Primary School,68,,,Sorrento,3943,POINT (nan nan)
Tootgarook Primary School,68,-38.3693852,144.8569588,Tootgarook,3941,POINT (144.8569588 -38.3693852)
Tyabb Primary School,75,-38.2624359666667,145.195383966667,Tyabb,3913,POINT (145.195383966667 -38.2624359666667)
Tyabb Railway Station Primary School,66,-38.2656633,145.1937836,Tyabb,3913,POINT (145.1937836 -38.2656633)
The Knox School,98,-37.8655317,145.2250241,Wantirna,3152,POINT (145.2250241 -37.8655317)
St Andrews Christian College,100,-37.8734787,145.2445416,Wantirna South,3152,POINT (145.2445416 -37.8734787)
Armadale Primary School,91,-37.8521445,145.0180019,Armadale,3143,POINT (145.0180019 -37.8521445)
Malvern Central School,93,-37.8560502,145.03438,Kooyong,3144,POINT (145.03438 -37.8560502)
St Joseph's Primary School,92,,,Kooyong,3144,POINT (nan nan)
Malvern Central School,93,-37.8560502,145.03438,Malvern,3144,POINT (145.03438 -37.8560502)
St Joseph's Primary School,92,,,Malvern,3144,POINT (nan nan)
Waverley Christian College,100,-37.8791793,145.2148358,Wantirna South,3152,POINT (145.2148358 -37.8791793)
Lloyd Street Primary School,94,,,Malvern East,3145,POINT (nan nan)
Holy Eucharist School,88,,,Malvern East,3145,POINT (nan nan)
St Mary's School,87,-37.8737726,145.055687,Malvern East,3145,POINT (145.055687 -37.8737726)
Malvern Valley Primary School,86,,,Malvern East,3145,POINT (nan nan)
Our Lady of Lourdes School,91,,,Prahran,3181,POINT (nan nan)
Stonnington Primary School,76,-37.8577572,144.9954172,Prahran,3181,POINT (144.9954172 -37.8577572)
Templeton Primary School,99,-37.8612878,145.2338509,Wantirna South,3152,POINT (145.2338509 -37.8612878)
The Knox School,98,-37.8655317,145.2250241,Wantirna South,3152,POINT (145.2250241 -37.8655317)
Loreto,95,-37.8483241,145.0137322,Toorak,3142,POINT (145.0137322 -37.8483241)
St Catherine's School,94,-37.8380412,145.0219552,Toorak,3142,POINT (145.0219552 -37.8380412)
Our Lady of Lourdes School,91,,,Windsor,3181,POINT (nan nan)
Stonnington Primary School,76,-37.8577572,144.9954172,Windsor,3181,POINT (144.9954172 -37.8577572)
Mullum Primary School,97,,,Warranwood,3134,POINT (nan nan)
St Bernadette's Primary School,87,,,Albion,3020,POINT (nan nan)
Albion Primary School,85,-37.7825589,144.819331,Albion,3020,POINT (144.819331 -37.7825589)
Our Lady of the Immaculate Conception School,85,-37.7881648,144.8337721,Albion,3020,POINT (144.8337721 -37.7881648)
Albion North Primary School,81,-37.7615835,144.8220032,Albion,3020,POINT (144.8220032 -37.7615835)
St Theresa's School,77,,,Albion,3020,POINT (nan nan)
St Paul's Primary School,71,,,Albion,3020,POINT (nan nan)
St Peter's Primary School,71,,,Albion,3020,POINT (nan nan)
Sunshine Heights Primary School,69,-37.7914354,144.8119111,Albion,3020,POINT (144.8119111 -37.7914354)
Sunshine Primary School,68,-37.7846141,144.8322037,Albion,3020,POINT (144.8322037 -37.7846141)
Ardeer Primary School,71,-37.781879,144.80189,Ardeer,3022,POINT (144.80189 -37.781879)
Mother of God School,68,,,Ardeer,3022,POINT (nan nan)
Southern Cross Grammar,94,-37.714227,144.7399705,Cairnlea,3023,POINT (144.7399705 -37.714227)
Kororoit Creek Primary School,90,,,Cairnlea,3023,POINT (nan nan)
Brookside College,86,,,Cairnlea,3023,POINT (nan nan)
Cairnlea Park Primary School,85,,,Cairnlea,3023,POINT (nan nan)
St Peter Chanel Primary School,78,,,Cairnlea,3023,POINT (nan nan)
Christ the Priest Primary School,74,,,Cairnlea,3023,POINT (nan nan)
Springside P-9 College,73,-37.7100711,144.7391894,Cairnlea,3023,POINT (144.7391894 -37.7100711)
Creekside College,72,,,Cairnlea,3023,POINT (nan nan)
St George Preca Catholic Primary School,72,,,Cairnlea,3023,POINT (nan nan)
Deer Park West Primary School,66,-37.7720922,144.7632553,Cairnlea,3023,POINT (144.7632553 -37.7720922)
Emmaus Catholic Primary School,91,,,Calder Park,3037,POINT (nan nan)
Cana Catholic Primary School,87,-37.6889941,144.7482367,Calder Park,3037,POINT (144.7482367 -37.6889941)
Gilson College,79,-37.7224508,144.7386984,Calder Park,3037,POINT (144.7386984 -37.7224508)
Sydenham - Hillside Primary School,79,-37.7015935,144.7586713,Calder Park,3037,POINT (144.7586713 -37.7015935)
Taylors Hill Primary School,78,-37.7168645,144.7578193,Calder Park,3037,POINT (144.7578193 -37.7168645)
Parkwood Green Primary School,71,-37.6990941,144.7446339,Calder Park,3037,POINT (144.7446339 -37.6990941)
Mackellar Primary School,71,-37.7187214,144.777535388223,Calder Park,3037,POINT (144.777535388223 -37.7187214)
Southern Cross Grammar,94,-37.714227,144.7399705,Deer Park,3023,POINT (144.7399705 -37.714227)
Kororoit Creek Primary School,90,,,Deer Park,3023,POINT (nan nan)
Brookside College,86,,,Deer Park,3023,POINT (nan nan)
Cairnlea Park Primary School,85,,,Deer Park,3023,POINT (nan nan)
St Peter Chanel Primary School,78,,,Deer Park,3023,POINT (nan nan)
Christ the Priest Primary School,74,,,Deer Park,3023,POINT (nan nan)
Springside P-9 College,73,-37.7100711,144.7391894,Deer Park,3023,POINT (144.7391894 -37.7100711)
Creekside College,72,,,Deer Park,3023,POINT (nan nan)
St George Preca Catholic Primary School,72,,,Deer Park,3023,POINT (nan nan)
Deer Park West Primary School,66,-37.7720922,144.7632553,Deer Park,3023,POINT (144.7632553 -37.7720922)
Emmaus Catholic Primary School,91,,,Delahey,3037,POINT (nan nan)
Cana Catholic Primary School,87,-37.6889941,144.7482367,Delahey,3037,POINT (144.7482367 -37.6889941)
Gilson College,79,-37.7224508,144.7386984,Delahey,3037,POINT (144.7386984 -37.7224508)
Sydenham - Hillside Primary School,79,-37.7015935,144.7586713,Delahey,3037,POINT (144.7586713 -37.7015935)
Taylors Hill Primary School,78,-37.7168645,144.7578193,Delahey,3037,POINT (144.7578193 -37.7168645)
Parkwood Green Primary School,71,-37.6990941,144.7446339,Delahey,3037,POINT (144.7446339 -37.6990941)
Mackellar Primary School,71,-37.7187214,144.777535388223,Delahey,3037,POINT (144.777535388223 -37.7187214)
Heathdale Christian College,99,,,Werribee,3030,POINT (nan nan)
Alamanda K-9 College,93,,,Derrimut,3030,POINT (nan nan)
